               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
         ^^^^^^^^^^^^^^^^^^^^^^^
         ^^^^^^^^^^^^^^^^^^^^^^^^^^
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    response = self.full_dispatch_request()
    return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)  # type: ignore[no-any-return]
    rv = self.dispatch_request()
    rv = self.handle_user_exception(e)
    with open(merged_log_file, 'r') as file:
2024-05-15 23:31:05,155 - INFO - [Master 1]: Health Probe
2024-05-15 23:31:25,170 - INFO - [Master 1]: Health Probe
2024-05-15 23:31:45,185 - INFO - [Master 1]: Health Probe
2024-05-15 23:32:05,185 - INFO - [Master 1]: Health Probe
2024-05-15 23:32:25,189 - INFO - [Master 1]: Health Probe
2024-05-15 23:32:41,432 - INFO - [Master 1]: Starting Thread with:41.238.94.188 : 60411 
2024-05-15 23:32:41,439 - INFO - [Master 1]: start receiving data
2024-05-15 23:32:45,195 - INFO - [Master 1]: Health Probe
2024-05-15 23:32:49,394 - INFO - [Master 1]: returning received array
2024-05-15 23:32:49,395 - INFO - [Master 1]: Received image with operation:Gray 
2024-05-15 23:32:49,423 - INFO - [ServerMaster]: Start sending
2024-05-15 23:32:49,451 - INFO - [ServerMaster]: Start sending
2024-05-15 23:32:49,486 - INFO - [ServerMaster]: Start sending
2024-05-15 23:32:49,541 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:32:49,542 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:32:49,542 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:32:54,920 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:32:54,939 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:32:54,995 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:33:03,090 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:33:03,274 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:33:03,318 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:33:03,336 - INFO - [Master 1]: sending serialized
2024-05-15 23:33:05,209 - INFO - [Master 1]: Health Probe
2024-05-15 23:33:10,844 - INFO - [Master 1]: start receiving data
2024-05-15 23:33:11,936 - ERROR - [Master 1]: Exception: %s
2024-05-16 02:23:31,507 - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2024-05-16 02:23:31,508 - INFO - [33mPress CTRL+C to quit[0m
2024-05-16 02:23:35,002 - ERROR - Exception on / [GET]
2024-05-16 02:23:35,008 - INFO - 127.0.0.1 - - [16/May/2024 02:23:35] "[35m[1mGET / HTTP/1.1[0m" 500 -
FileNotFoundError: [Errno 2] No such file or directory: 'full.log'
Traceback (most recent call last):
